Execuções;População Inicial;Veiculos Usados Melhor Rota;Veiculos Usados Pior Rota;Número máximo veículos;Fator mutação(0-100%);Máximo gerações;Qtd Melhores;Qtd Piores;Aptidão Média;Aptidão Melhor Cromossomo;Rota Melhor Cromossomo(qtd->idCidade);Aptidão Pior Cromossomo;Rota Pior Cromossomo(qtd->idCidade)
30;480;5;5;5;26;230;2;1;2315.139581608038;2104.6804128951144;[[0->1, 29->29, 29->10, 12->23, 37->12, 12->14, 16->55, 31->15, 18->2, 19->48, 28->22, 18->44, 21->6, 14->58, 22->54, 24->39, 8->16, 26->11, 15->20, 22->51, 9->66, 5->50, 14->38, 6->24, 0->1], [0->1, 20->76, 12->52, 11->43, 19->7, 7->56, 24->60, 30->68, 13->61, 22->21, 26->57, 37->67, 20->18, 30->5, 15->42, 8->70, 18->27, 10->69, 13->19, 3->72, 28->65, 25->32, 11->71, 19->35, 0->1], [0->1, 17->28, 10->36, 15->8, 16->9, 11->64, 11->4, 26->3, 17->45, 13->30, 19->17, 21->46, 16->40, 20->49, 21->59, 16->13, 22->31, 27->34, 1->73, 33->41, 10->75, 6->74, 28->33, 19->53, 0->1], [0->1, 27->25, 14->26, 0->1], [18->63, 27->47, 15->62, 12->37]];2436.3624756241693;[[0->1, 6->74, 12->52, 13->61, 14->26, 3->72, 8->70, 11->71, 13->30, 11->4, 10->75, 12->23, 14->38, 8->16, 13->19, 10->36, 6->24, 7->56, 10->69, 11->64, 12->14, 11->43, 12->37, 5->50, 0->1], [0->1, 22->54, 24->39, 28->65, 25->32, 30->68, 28->22, 27->34, 29->10, 27->25, 26->11, 37->67, 1->73, 22->21, 26->57, 29->29, 33->41, 24->60, 31->15, 28->33, 37->12, 27->47, 30->5, 26->3, 0->1], [0->1, 19->17, 20->49, 17->28, 21->46, 18->44, 18->2, 18->27, 20->18, 16->9, 19->7, 15->20, 21->6, 20->76, 16->40, 19->48, 16->13, 18->63, 19->35, 22->31, 19->53, 16->55, 21->59, 17->45, 0->1], [0->1, 15->62, 15->8, 0->1], [9->66, 22->51, 15->42, 14->58]]
30;460;5;5;5;26;210;2;1;2335.894501534972;2126.500302557907;[[0->1, 8->70, 14->26, 22->31, 24->39, 29->29, 16->40, 13->30, 20->18, 26->11, 13->19, 19->7, 12->23, 19->17, 16->13, 11->71, 16->55, 19->48, 19->35, 12->52, 28->33, 12->37, 27->34, 25->32, 0->1], [0->1, 17->45, 21->59, 20->76, 11->64, 27->47, 30->5, 22->51, 15->20, 24->60, 16->9, 14->58, 26->3, 19->53, 15->42, 8->16, 13->61, 9->66, 22->21, 5->50, 37->67, 11->43, 29->10, 18->44, 0->1], [0->1, 15->8, 15->62, 18->27, 33->41, 28->65, 10->69, 14->38, 18->2, 1->73, 11->4, 3->72, 22->54, 20->49, 31->15, 21->6, 18->63, 10->36, 28->22, 27->25, 17->28, 10->75, 30->68, 7->56, 0->1], [0->1, 12->14, 6->74, 0->1], [6->24, 37->12, 26->57, 21->46]];2415.5517693788956;[[0->1, 22->21, 8->70, 7->56, 25->32, 27->47, 10->69, 3->72, 20->18, 18->27, 15->42, 13->61, 30->68, 37->67, 26->57, 11->71, 19->7, 19->35, 11->43, 24->60, 30->5, 20->76, 12->52, 28->65, 0->1], [0->1, 19->48, 15->62, 28->22, 24->39, 12->23, 14->58, 6->24, 31->15, 8->16, 29->10, 9->66, 37->12, 29->29, 12->37, 5->50, 16->55, 14->26, 18->2, 27->25, 22->51, 26->11, 18->44, 14->38, 0->1], [0->1, 16->40, 19->53, 20->49, 11->4, 21->59, 10->36, 33->41, 19->17, 15->8, 17->28, 13->30, 22->31, 16->9, 28->33, 6->74, 10->75, 1->73, 26->3, 11->64, 18->63, 27->34, 17->45, 16->13, 0->1], [0->1, 15->20, 22->54, 0->1], [13->19, 21->46, 21->6, 12->14]]
30;520;5;5;5;26;250;2;1;2357.540168559914;2140.572580154826;[[0->1, 15->8, 15->20, 13->61, 28->33, 19->35, 29->10, 33->41, 8->70, 17->28, 18->44, 18->2, 13->30, 9->66, 27->47, 37->12, 30->5, 22->31, 21->59, 14->26, 25->32, 37->67, 13->19, 30->68, 0->1], [0->1, 27->34, 28->22, 7->56, 20->18, 22->51, 20->49, 29->29, 12->37, 24->39, 27->25, 10->36, 22->21, 12->14, 12->23, 16->13, 1->73, 21->6, 8->16, 31->15, 24->60, 15->42, 19->53, 15->62, 0->1], [0->1, 20->76, 11->4, 18->27, 11->64, 19->48, 19->17, 5->50, 21->46, 11->71, 10->69, 14->58, 12->52, 16->40, 6->74, 22->54, 16->9, 28->65, 3->72, 10->75, 26->57, 18->63, 26->3, 17->45, 0->1], [0->1, 6->24, 16->55, 0->1], [14->38, 11->43, 19->7, 26->11]];2502.973203755236;[[0->1, 12->37, 11->43, 12->14, 6->74, 5->50, 10->75, 12->52, 13->61, 11->71, 3->72, 13->30, 9->66, 7->56, 11->64, 10->69, 6->24, 12->23, 14->26, 8->70, 11->4, 13->19, 10->36, 14->38, 0->1], [0->1, 28->65, 27->34, 30->68, 29->10, 33->41, 22->54, 26->57, 25->32, 26->3, 27->47, 26->11, 37->12, 28->33, 24->60, 28->22, 1->73, 31->15, 22->31, 27->25, 22->21, 37->67, 29->29, 24->39, 0->1], [0->1, 15->42, 18->63, 16->55, 16->40, 14->58, 19->7, 19->17, 21->59, 20->49, 16->9, 20->76, 20->18, 19->48, 17->45, 19->53, 15->8, 18->44, 18->27, 15->20, 15->62, 19->35, 17->28, 18->2, 0->1], [0->1, 21->46, 21->6, 0->1], [8->16, 16->13, 30->5, 22->51]]
30;260;5;5;5;6;100;2;1;2384.739923865797;2145.0261316613023;[[0->1, 12->37, 14->26, 8->70, 22->21, 13->19, 14->38, 12->23, 11->43, 26->57, 24->60, 3->72, 25->32, 11->71, 9->66, 37->67, 22->51, 15->62, 7->56, 27->25, 37->12, 14->58, 18->44, 6->24, 0->1], [0->1, 11->4, 19->48, 20->49, 10->75, 26->11, 12->14, 15->20, 18->63, 16->55, 28->33, 6->74, 11->64, 16->40, 22->54, 29->10, 17->45, 18->2, 19->17, 21->6, 24->39, 1->73, 21->59, 8->16, 0->1], [0->1, 20->76, 22->31, 26->3, 13->30, 16->13, 19->35, 33->41, 19->7, 12->52, 15->8, 20->18, 28->65, 30->5, 10->69, 27->47, 13->61, 27->34, 18->27, 17->28, 19->53, 16->9, 30->68, 21->46, 0->1], [0->1, 5->50, 28->22, 0->1], [15->42, 29->29, 10->36, 31->15]];2543.881617570336;[[0->1, 29->10, 37->12, 27->47, 25->32, 29->29, 22->51, 37->67, 1->73, 33->41, 31->15, 27->34, 28->65, 26->3, 28->33, 24->39, 26->11, 30->68, 30->5, 27->25, 24->60, 26->57, 22->54, 28->22, 0->1], [0->1, 14->58, 11->64, 12->52, 8->16, 12->14, 10->69, 11->4, 10->36, 8->70, 10->75, 3->72, 11->43, 11->71, 6->74, 12->23, 13->19, 13->30, 13->61, 5->50, 7->56, 14->38, 12->37, 9->66, 0->1], [0->1, 15->8, 17->45, 19->35, 20->76, 21->46, 20->49, 16->9, 19->48, 21->59, 21->6, 18->63, 18->2, 16->13, 18->44, 22->21, 16->40, 19->53, 20->18, 19->17, 15->62, 17->28, 16->55, 19->7, 0->1], [0->1, 14->26, 15->42, 0->1], [22->31, 18->27, 6->24, 15->20]]
30;420;5;5;5;21;200;2;1;2340.6120162149223;2152.9376575163465;[[0->1, 21->6, 29->10, 24->60, 11->4, 11->64, 18->2, 19->53, 12->37, 10->75, 12->14, 24->39, 16->55, 14->26, 18->63, 28->22, 17->28, 25->32, 18->27, 14->38, 26->3, 9->66, 20->76, 22->21, 0->1], [0->1, 27->25, 17->45, 19->35, 1->73, 16->9, 16->40, 13->19, 19->7, 27->47, 3->72, 5->50, 16->13, 22->51, 20->18, 10->36, 37->12, 21->59, 26->11, 6->74, 31->15, 30->68, 37->67, 15->8, 0->1], [0->1, 27->34, 19->48, 15->42, 33->41, 26->57, 8->16, 15->20, 21->46, 29->29, 10->69, 6->24, 15->62, 20->49, 11->71, 13->30, 12->52, 14->58, 22->31, 12->23, 18->44, 19->17, 28->65, 8->70, 0->1], [0->1, 11->43, 7->56, 0->1], [22->54, 30->5, 28->33, 13->61]];2489.8447344125448;[[0->1, 8->70, 28->65, 22->21, 3->72, 30->68, 14->26, 13->61, 12->37, 27->25, 13->19, 24->60, 26->57, 37->67, 15->62, 18->27, 11->43, 18->44, 14->38, 30->5, 15->42, 11->71, 20->76, 7->56, 0->1], [0->1, 16->40, 18->2, 22->51, 11->64, 26->11, 29->29, 24->39, 31->15, 8->16, 19->48, 12->14, 5->50, 15->20, 29->10, 14->58, 18->63, 1->73, 22->54, 21->6, 28->22, 28->33, 16->55, 37->12, 0->1], [0->1, 19->35, 17->28, 22->31, 19->17, 21->59, 33->41, 6->74, 10->75, 13->30, 17->45, 16->9, 12->52, 10->36, 20->18, 21->46, 15->8, 27->47, 10->69, 19->7, 16->13, 26->3, 19->53, 11->4, 0->1], [0->1, 9->66, 12->23, 0->1], [25->32, 20->49, 27->34, 6->24]]
30;280;5;5;5;16;130;2;1;2336.339660204478;2159.5354219340643;[[0->1, 6->24, 26->57, 28->22, 28->65, 16->9, 18->2, 18->27, 14->38, 26->11, 30->5, 29->29, 19->7, 10->69, 11->4, 16->55, 14->58, 11->71, 16->40, 37->12, 10->75, 19->48, 10->36, 31->15, 0->1], [0->1, 27->25, 5->50, 22->31, 7->56, 14->26, 17->28, 1->73, 19->53, 30->68, 11->43, 13->61, 18->63, 21->59, 13->19, 25->32, 16->13, 37->67, 12->14, 22->54, 15->42, 27->34, 24->39, 20->76, 0->1], [0->1, 22->51, 21->46, 29->10, 28->33, 12->52, 13->30, 17->45, 22->21, 12->23, 3->72, 19->17, 33->41, 19->35, 6->74, 8->16, 21->6, 15->62, 12->37, 27->47, 20->49, 15->8, 8->70, 24->60, 0->1], [0->1, 9->66, 11->64, 0->1], [18->44, 26->3, 15->20, 20->18]];2457.0864385046434;[[0->1, 19->7, 10->75, 3->72, 11->43, 24->39, 21->6, 13->61, 12->14, 28->65, 6->24, 16->13, 28->22, 29->29, 37->12, 22->31, 8->70, 24->60, 26->57, 25->32, 30->5, 18->27, 21->59, 5->50, 0->1], [0->1, 20->49, 18->63, 30->68, 19->48, 27->25, 12->23, 27->34, 8->16, 18->44, 21->46, 11->64, 17->28, 22->21, 1->73, 14->38, 28->33, 11->71, 6->74, 19->35, 26->11, 31->15, 19->53, 27->47, 0->1], [0->1, 10->36, 20->76, 29->10, 20->18, 13->30, 22->54, 37->67, 26->3, 16->9, 17->45, 16->55, 15->20, 14->26, 18->2, 12->37, 9->66, 13->19, 15->42, 12->52, 7->56, 14->58, 19->17, 22->51, 0->1], [0->1, 33->41, 15->62, 0->1], [16->40, 11->4, 15->8, 10->69]]
30;540;5;5;5;41;270;2;1;2318.3675661256193;2170.9830197270267;[[0->1, 28->65, 26->57, 29->29, 29->10, 28->33, 7->56, 31->15, 26->11, 30->5, 37->12, 28->22, 33->41, 27->34, 30->68, 27->25, 27->47, 6->74, 6->24, 25->32, 5->50, 26->3, 37->67, 3->72, 0->1], [0->1, 15->62, 11->64, 14->26, 11->4, 15->8, 12->23, 10->36, 15->42, 12->52, 15->20, 13->61, 8->16, 13->30, 8->70, 12->37, 13->19, 11->43, 11->71, 10->69, 14->38, 9->66, 10->75, 14->58, 0->1], [0->1, 19->48, 16->9, 22->21, 17->28, 22->51, 24->60, 21->46, 17->45, 19->53, 18->44, 19->17, 18->63, 20->49, 18->2, 21->59, 22->54, 22->31, 20->76, 19->35, 19->7, 20->18, 18->27, 24->39, 0->1], [0->1, 16->55, 16->13, 0->1], [1->73, 21->6, 12->14, 16->40]];2435.1472702536907;[[0->1, 13->19, 16->55, 27->25, 12->23, 25->32, 37->67, 37->12, 15->42, 28->22, 14->26, 5->50, 22->21, 22->51, 18->44, 9->66, 12->37, 31->15, 11->43, 6->24, 15->62, 14->38, 14->58, 8->16, 0->1], [0->1, 11->4, 20->49, 13->30, 22->54, 12->14, 10->36, 29->10, 18->2, 18->63, 24->39, 10->75, 16->40, 11->64, 1->73, 21->59, 21->6, 26->11, 29->29, 28->33, 6->74, 17->45, 19->17, 15->20, 0->1], [0->1, 18->27, 15->8, 20->18, 22->31, 19->35, 33->41, 3->72, 12->52, 28->65, 16->13, 11->71, 26->3, 13->61, 10->69, 20->76, 19->53, 21->46, 19->7, 24->60, 30->68, 30->5, 27->47, 7->56, 0->1], [0->1, 17->28, 27->34, 0->1], [26->57, 19->48, 8->70, 16->9]]
30;120;5;5;5;1;60;2;1;2419.799852574265;2172.421002935903;[[0->1, 13->61, 10->36, 6->24, 12->23, 37->67, 12->37, 6->74, 13->30, 8->70, 7->56, 12->52, 1->73, 11->43, 10->75, 5->50, 11->71, 10->69, 9->66, 8->16, 12->14, 11->64, 11->4, 37->12, 0->1], [0->1, 21->6, 28->65, 29->10, 22->31, 27->47, 20->49, 27->34, 26->3, 30->5, 22->21, 22->51, 27->25, 24->60, 21->46, 26->11, 28->33, 22->54, 25->32, 26->57, 28->22, 20->18, 29->29, 24->39, 0->1], [0->1, 18->27, 19->48, 18->44, 17->28, 16->55, 16->40, 19->35, 15->20, 19->17, 19->7, 14->38, 18->63, 17->45, 18->2, 15->62, 20->76, 16->13, 16->9, 19->53, 13->19, 14->26, 14->58, 15->42, 0->1], [0->1, 31->15, 33->41, 0->1], [3->72, 21->59, 15->8, 30->68]];2580.597439083932;[[0->1, 14->26, 7->56, 14->38, 15->42, 26->57, 3->72, 6->24, 18->44, 25->32, 15->62, 12->37, 37->67, 28->65, 12->23, 9->66, 20->76, 11->71, 13->61, 22->21, 24->60, 27->25, 13->19, 11->43, 0->1], [0->1, 12->14, 5->50, 16->40, 8->16, 31->15, 18->2, 6->74, 22->54, 15->20, 29->10, 17->45, 26->11, 11->64, 18->63, 16->55, 29->29, 24->39, 10->75, 21->6, 20->49, 28->33, 19->48, 1->73, 0->1], [0->1, 19->53, 20->18, 10->36, 19->17, 22->31, 16->9, 21->59, 16->13, 10->69, 12->52, 26->3, 15->8, 11->4, 17->28, 30->68, 19->7, 18->27, 19->35, 33->41, 13->30, 27->47, 30->5, 21->46, 0->1], [0->1, 14->58, 22->51, 0->1], [8->70, 27->34, 28->22, 37->12]]
30;440;5;5;5;21;200;2;1;2362.884373279127;2180.242522321208;[[0->1, 14->26, 15->8, 13->19, 11->64, 12->52, 16->40, 12->37, 17->28, 15->42, 12->14, 14->58, 15->20, 11->4, 14->38, 16->9, 11->43, 13->61, 11->71, 12->23, 16->55, 13->30, 16->13, 15->62, 0->1], [0->1, 28->65, 27->34, 6->74, 37->12, 33->41, 26->11, 28->33, 27->25, 7->56, 29->29, 30->5, 37->67, 28->22, 8->16, 6->24, 30->68, 29->10, 27->47, 5->50, 31->15, 1->73, 3->72, 8->70, 0->1], [0->1, 22->54, 26->3, 21->46, 20->76, 24->39, 19->35, 19->7, 20->49, 19->53, 19->17, 21->59, 20->18, 22->51, 18->2, 22->21, 19->48, 18->44, 22->31, 21->6, 24->60, 18->63, 25->32, 18->27, 0->1], [0->1, 10->36, 9->66, 0->1], [10->69, 26->57, 17->45, 10->75]];2448.6968895309997;[[0->1, 9->66, 30->5, 10->36, 11->71, 31->15, 30->68, 33->41, 3->72, 11->64, 6->74, 8->70, 1->73, 11->43, 7->56, 10->75, 5->50, 29->29, 10->69, 37->67, 37->12, 11->4, 8->16, 6->24, 0->1], [0->1, 21->46, 20->49, 21->6, 26->3, 20->76, 27->25, 22->54, 22->51, 28->33, 21->59, 27->47, 26->11, 26->57, 20->18, 22->31, 28->65, 28->22, 24->60, 22->21, 27->34, 19->35, 25->32, 24->39, 0->1], [0->1, 16->9, 18->27, 15->20, 18->2, 19->7, 14->26, 16->13, 15->42, 15->62, 13->30, 16->55, 15->8, 12->14, 14->38, 18->44, 13->61, 19->48, 14->58, 17->45, 19->17, 13->19, 16->40, 18->63, 0->1], [0->1, 12->52, 12->37, 0->1], [29->10, 17->28, 19->53, 12->23]]
30;540;5;5;5;31;260;2;1;2322.348725295005;2183.9436334677107;[[0->1, 27->34, 11->71, 18->44, 11->4, 15->8, 13->61, 12->37, 28->65, 21->46, 12->52, 12->23, 9->66, 25->32, 26->3, 20->49, 11->64, 14->38, 22->51, 7->56, 16->40, 33->41, 27->25, 19->35, 0->1], [0->1, 20->76, 14->58, 1->73, 21->59, 30->5, 28->33, 10->75, 6->74, 37->67, 28->22, 22->54, 19->17, 16->13, 15->42, 11->43, 37->12, 3->72, 13->19, 19->53, 8->70, 18->27, 22->21, 10->36, 0->1], [0->1, 30->68, 16->55, 21->6, 19->48, 13->30, 6->24, 24->39, 8->16, 20->18, 15->20, 18->63, 31->15, 17->45, 26->11, 18->2, 14->26, 19->7, 29->29, 15->62, 5->50, 29->10, 24->60, 17->28, 0->1], [0->1, 10->69, 26->57, 0->1], [12->14, 27->47, 16->9, 22->31]];2428.4851873904227;[[0->1, 15->42, 6->24, 30->68, 19->53, 31->15, 22->21, 20->49, 12->23, 18->2, 25->32, 7->56, 27->34, 6->74, 16->13, 27->47, 8->70, 15->62, 22->54, 24->60, 9->66, 18->44, 29->10, 30->5, 0->1], [0->1, 16->40, 21->59, 14->26, 11->64, 15->8, 26->3, 19->35, 11->43, 10->36, 16->9, 16->55, 21->6, 21->46, 12->14, 13->30, 28->65, 5->50, 28->22, 19->48, 24->39, 12->37, 26->57, 37->67, 0->1], [0->1, 17->45, 20->18, 13->61, 13->19, 26->11, 18->63, 10->69, 3->72, 29->29, 15->20, 8->16, 19->17, 27->25, 11->71, 22->31, 18->27, 12->52, 1->73, 33->41, 10->75, 14->38, 37->12, 22->51, 0->1], [0->1, 20->76, 19->7, 0->1], [17->28, 11->4, 14->58, 28->33]]
