optimizer;loss;activation_layer_1;activation_layer_2;batch_size;epochs;accuracy;
adam;poisson;relu;hard_sigmoid;192;70;0.7750;
adamax;poisson;tanh;sigmoid;192;70;0.7700;
adamax;MSE;tanh;elu;192;70;0.7650;
rmsprop;MSE;relu;selu;192;70;0.7650;
adam;MSE;sigmoid;tanh;192;70;0.7650;
adam;binary_crossentropy;tanh;sigmoid;192;70;0.7650;
adamax;MSE;tanh;relu;192;70;0.7650;
adamax;MSE;tanh;sigmoid;192;70;0.7650;
rmsprop;MSE;tanh;selu;192;70;0.7600;
rmsprop;MSE;selu;hard_sigmoid;192;70;0.7600;
rmsprop;MSE;relu;elu;192;70;0.7600;
rmsprop;poisson;tanh;hard_sigmoid;192;70;0.7600;
adagrad;binary_crossentropy;tanh;sigmoid;192;70;0.7600;
adadelta;MSE;elu;relu;192;70;0.7600;
adadelta;binary_crossentropy;elu;sigmoid;192;70;0.7600;
adadelta;binary_crossentropy;tanh;hard_sigmoid;192;70;0.7600;
adadelta;poisson;elu;hard_sigmoid;192;70;0.7600;
nadam;MSLE;elu;sigmoid;192;70;0.7600;
nadam;binary_crossentropy;tanh;hard_sigmoid;192;70;0.7600;
adagrad;binary_crossentropy;elu;sigmoid;192;70;0.7600;
adadelta;MSE;tanh;sigmoid;192;70;0.7600;
adam;MSLE;elu;relu;192;70;0.7600;
sgd;MSE;tanh;selu;192;70;0.7550;
rmsprop;MSE;elu;selu;192;70;0.7550;
rmsprop;MSLE;elu;hard_sigmoid;192;70;0.7550;
rmsprop;MSLE;selu;sigmoid;192;70;0.7550;
adagrad;MSE;elu;hard_sigmoid;192;70;0.7550;
adagrad;MSE;relu;tanh;192;70;0.7550;
adagrad;MSE;tanh;hard_sigmoid;192;70;0.7550;
adadelta;MSE;elu;hard_sigmoid;192;70;0.7550;
adadelta;MSE;tanh;selu;192;70;0.7550;
adadelta;binary_crossentropy;tanh;sigmoid;192;70;0.7550;
adam;MSE;tanh;sigmoid;192;70;0.7550;
adamax;MAE;hard_sigmoid;tanh;192;70;0.7550;
adamax;poisson;selu;sigmoid;192;70;0.7550;
nadam;MSLE;selu;hard_sigmoid;192;70;0.7550;
nadam;MSLE;tanh;hard_sigmoid;192;70;0.7550;
adadelta;binary_crossentropy;selu;sigmoid;192;70;0.7550;
rmsprop;binary_crossentropy;sigmoid;tanh;192;70;0.7550;
adamax;MSE;sigmoid;tanh;192;70;0.7550;
rmsprop;binary_crossentropy;tanh;sigmoid;192;70;0.7500;
adagrad;binary_crossentropy;selu;elu;192;70;0.7500;
adagrad;binary_crossentropy;relu;relu;192;70;0.7500;
adadelta;MSE;selu;sigmoid;192;70;0.7500;
adam;MSE;selu;selu;192;70;0.7500;
adam;MSE;selu;hard_sigmoid;192;70;0.7500;
adam;MSLE;selu;relu;192;70;0.7500;
nadam;MSE;selu;elu;192;70;0.7500;
adamax;MSLE;tanh;relu;192;70;0.7500;
nadam;MSE;selu;relu;192;70;0.7500;
nadam;binary_crossentropy;sigmoid;tanh;192;70;0.7500;
rmsprop;MSE;relu;tanh;192;70;0.7500;
rmsprop;MSE;tanh;hard_sigmoid;192;70;0.7500;
rmsprop;MSLE;tanh;sigmoid;192;70;0.7500;
rmsprop;MSLE;tanh;hard_sigmoid;192;70;0.7500;
rmsprop;binary_crossentropy;selu;relu;192;70;0.7500;
rmsprop;binary_crossentropy;selu;sigmoid;192;70;0.7500;
rmsprop;binary_crossentropy;tanh;hard_sigmoid;192;70;0.7500;
rmsprop;poisson;relu;hard_sigmoid;192;70;0.7500;
rmsprop;poisson;tanh;sigmoid;192;70;0.7500;
adagrad;MSE;relu;sigmoid;192;70;0.7500;
adagrad;MSE;tanh;tanh;192;70;0.7500;
adagrad;MSE;tanh;sigmoid;192;70;0.7500;
adagrad;MSLE;tanh;hard_sigmoid;192;70;0.7500;
adagrad;binary_crossentropy;tanh;hard_sigmoid;192;70;0.7500;
adagrad;poisson;elu;sigmoid;192;70;0.7500;
adagrad;poisson;elu;hard_sigmoid;192;70;0.7500;
adagrad;poisson;selu;hard_sigmoid;192;70;0.7500;
adadelta;MSE;selu;hard_sigmoid;192;70;0.7500;
adadelta;MSE;tanh;hard_sigmoid;192;70;0.7500;
adadelta;binary_crossentropy;selu;hard_sigmoid;192;70;0.7500;
adadelta;poisson;selu;sigmoid;192;70;0.7500;
adadelta;poisson;tanh;hard_sigmoid;192;70;0.7500;
adam;MSE;elu;elu;192;70;0.7500;
adam;MSE;elu;sigmoid;192;70;0.7500;
adam;MSE;tanh;hard_sigmoid;192;70;0.7500;
adam;MSLE;elu;sigmoid;192;70;0.7500;
adam;MSLE;selu;hard_sigmoid;192;70;0.7500;
adam;binary_crossentropy;elu;sigmoid;192;70;0.7500;
adamax;MSE;elu;tanh;192;70;0.7500;
adamax;MSE;elu;sigmoid;192;70;0.7500;
adamax;binary_crossentropy;selu;hard_sigmoid;192;70;0.7500;
adamax;poisson;elu;sigmoid;192;70;0.7500;
adamax;poisson;elu;hard_sigmoid;192;70;0.7500;
nadam;MSE;elu;tanh;192;70;0.7500;
nadam;MSE;selu;selu;192;70;0.7500;
nadam;MSLE;elu;hard_sigmoid;192;70;0.7500;
nadam;MSLE;selu;relu;192;70;0.7500;
nadam;MSLE;relu;sigmoid;192;70;0.7500;
rmsprop;binary_crossentropy;elu;sigmoid;192;70;0.7450;
rmsprop;MSE;relu;hard_sigmoid;192;70;0.7450;
rmsprop;MSE;tanh;relu;192;70;0.7450;
rmsprop;MSLE;selu;hard_sigmoid;192;70;0.7450;
rmsprop;MSLE;relu;relu;192;70;0.7450;
